Date,Open,High,Low,Close,Volume,등락률,Adj Close
2023-09-20,495000,502000,494000,499500,153389,0.6042296072507553,499500
2023-09-21,497000,497500,486000,487000,292854,-2.5025025025025025,487000
2023-09-22,479000,495000,478500,491000,249462,0.8213552361396305,491000
2023-09-25,491500,491500,461500,476000,410299,-3.054989816700611,476000
2023-09-26,471500,479000,468500,475500,252369,-0.10504201680672269,475500
2023-09-27,469500,476500,466500,476500,256074,0.2103049421661409,476500
2023-10-04,467000,471500,455500,456000,423482,-4.3022035676810075,456000
2023-10-05,468500,477000,463000,467500,370971,2.5219298245614032,467500
2023-10-06,468000,476500,462500,464000,205780,-0.7486631016042781,464000
2023-10-10,467500,473000,458000,458500,344073,-1.1853448275862069,458500
2023-10-11,464500,496500,464500,492000,670584,7.306434023991276,492000
2023-10-12,494000,501000,490000,493500,477829,0.3048780487804878,493500
2023-10-13,490000,490000,480000,484000,300483,-1.9250253292806485,484000
2023-10-16,479500,481500,471500,474000,255899,-2.066115702479339,474000
2023-10-17,479500,482500,474000,475000,189464,0.21097046413502107,475000
2023-10-18,471500,472500,462000,465000,317384,-2.1052631578947367,465000
2023-10-19,455500,457000,450000,452500,358437,-2.6881720430107525,452500
2023-10-20,445500,446000,435500,436500,363181,-3.535911602209945,436500
2023-10-23,438000,442500,430500,436500,296136,0.0,436500
2023-10-24,439500,449000,423000,448500,393138,2.7491408934707904,448500
2023-10-25,449000,449500,409000,409500,1005968,-8.695652173913043,409500
2023-10-26,398000,407000,395000,399500,534523,-2.442002442002442,399500
2023-10-27,399500,411000,396500,400000,500087,0.1251564455569462,400000
2023-10-30,397000,413000,397000,405000,342974,1.25,405000
2023-10-31,404500,404500,382500,385500,719190,-4.814814814814815,385500
2023-11-01,389500,391500,375500,377500,348415,-2.075226977950713,377500
2023-11-02,383500,394000,380000,391500,485126,3.708609271523179,391500
2023-11-03,402500,404500,396500,402000,442376,2.681992337164751,402000
2023-11-06,451500,500000,435000,493500,1894906,22.761194029850746,493500
2023-11-07,488500,488500,440500,443000,825182,-10.233029381965553,443000
2023-11-08,446000,459500,437500,437500,367858,-1.2415349887133182,437500
2023-11-09,439000,447000,426500,429000,348224,-1.9428571428571426,429000
2023-11-10,418500,422000,411000,411000,290145,-4.195804195804196,411000
2023-11-13,413000,425000,408000,415500,258047,1.094890510948905,415500
2023-11-14,424500,444000,420500,437000,318068,5.174488567990373,437000
2023-11-15,460000,460000,446000,451500,354065,3.318077803203661,451500
2023-11-16,447500,449500,439000,442500,186484,-1.9933554817275747,442500
2023-11-17,436000,437000,428000,432000,223340,-2.3728813559322033,432000
2023-11-20,432000,445500,431500,444000,250872,2.7777777777777777,444000
2023-11-21,450000,452000,444000,447000,158805,0.6756756756756757,447000
2023-11-22,443000,446000,437000,442000,136059,-1.1185682326621924,442000
2023-11-23,440500,450500,440500,448500,142291,1.4705882352941175,448500
2023-11-24,449500,452500,442500,442500,134085,-1.3377926421404682,442500
2023-11-27,446000,447500,432500,434500,154442,-1.807909604519774,434500
2023-11-28,436500,440500,434000,435000,140561,0.11507479861910241,435000
2023-11-29,440000,447500,434000,447000,203907,2.7586206896551726,447000
2023-11-30,444000,454500,440500,454500,289478,1.6778523489932886,454500
2023-12-01,444000,448000,428500,428500,498100,-5.720572057205721,428500
